Estructura,Insercion,Busqueda,Eliminacion,Actualizacion
Pila,4.9063,3.2892,2.7255,0.0002
Cola,4.1525,0.001,2.8272,0.0003
Lista,23.1734,1.531,9.4978,0.0005
Arbol,101.368,0.0015,69.1925,0.0009
Pila,5.1501,4.4216,2.7996,0.0002
Cola,3.5839,0.0007,1.4426,0.0003
Lista,23.7687,1.5886,8.9366,0.0003
Arbol,98.4356,0.0017,70.4906,0.001
Pila,4.978,3.3848,1.524,0.0002
Cola,4.2574,0.0008,2.7278,0.0003
Lista,21.8868,1.4138,7.6285,0.0003
Arbol,98.3265,0.0024,80.5549,0.0007
Pila,4.3203,3.5901,2.7409,0.0001
Cola,4.2461,0.0013,2.6762,0.0004
Lista,19.5165,1.306,8.8097,0.0002
Arbol,88.9714,0.0021,72.549,0.0003
Pila,4.0746,3.8578,2.474,0.0001
Cola,3.1316,0.0008,1.9979,0.0003
Lista,19.9988,1.0844,8.2834,0.0003
Arbol,91.919,0.0016,67.5833,0.001
